,conversation_id,created_at,date,timezone,place,tweet,hashtags,user_id,username,name,link,nlikes,nreplies,nretweets,geo
8342,1592773910575349760,2022-11-16 08:15:52,2022-11-16 08:15:52+00:00,0,,"@ojokuvvi @TxtdariHI Gatau yaa, mungkin dapat dana investasi sampai 38T dr amerika, investasi dri china, investasi dr jepang",[],1408593784703635456,sukakamuakusuka,ꑭ ✙,https://twitter.com/sukakamuakusuka/status/1592793561967525888,0,0,0,
8343,1592400553090637824,2022-11-16 08:15:45,2022-11-16 08:15:45+00:00,0,,@oneiromansy Gua mau nya punya saham YG ajalah,[],1480213346422984704,wazzuuubee,hori,https://twitter.com/wazzuuubee/status/1592793532754186240,0,0,0,
8344,1592793386368774144,2022-11-16 08:15:10,2022-11-16 08:15:10+00:00,0,,"Selamat Sore  Klaten , Hari Rabu memang bukan awal pekan. Tapi, Kamu bisa menjadikannya awal kesuksesanmu. Kerja, dan raih bintang di hadapanmu.  Belajar investasi modal Gratis? Daftar Bibit masukan kode referral : bonusdaftar agar dapat 25rb gratis  https://t.co/a8WatshN9a",[],1565902685085515776,pemburuan6,pemburuan,https://twitter.com/pemburuan6/status/1592793386368774145,0,0,0,
8345,1592793372816719872,2022-11-16 08:15:07,2022-11-16 08:15:07+00:00,0,,Saksikan IG Live MNC Sekuritas Hari Ini: Saham Syariah 101  https://t.co/vyMq3ZZuoI,[],108774611,jogjacoret,JOgja Coret,https://twitter.com/jogjacoret/status/1592793372816719872,0,0,0,
8346,1592659702906703872,2022-11-16 08:14:53,2022-11-16 08:14:53+00:00,0,,"@tanyarlfes Orang tua seperti diatas kenapa adq sih, knapa gk kerja aja dan beli motor sendiri, heran mau jadi ortu tapi anak jdi bagian investasi biar bisa beli ini itu, hadeh.",[],1265543312930418688,Jackjoh93185232,Mr.John,https://twitter.com/Jackjoh93185232/status/1592793312683233280,0,0,0,
8347,1592793292043059200,2022-11-16 08:14:48,2022-11-16 08:14:48+00:00,0,,"Suku bunga acuan 3,5% yang ditetapkan Bank Indonesia menjadi suku bunga terendah sepanjang sejarah Indonesia. Menariknya, hal ini membuka peluang untuk berinvestasi pada obligasi atau reksa dana pendapatan tetap. Kalo kamu bakal pilih mana?🤔   https://t.co/TR20sMmJqG",[],1166977780757581824,ajaib_investasi,Ajaib Investasi,https://twitter.com/ajaib_investasi/status/1592793292043059200,3,0,2,
8348,1592793273739137024,2022-11-16 08:14:43,2022-11-16 08:14:43+00:00,0,,Harga Minyak Naik Gila-gilaan Gak Ngaruh ke Investasi RI  https://t.co/FXCrqpxZz5,[],847372542830444544,cnbcindonesia,CNBC Indonesia,https://twitter.com/cnbcindonesia/status/1592793273739137027,3,0,0,
8349,1592778532941631488,2022-11-16 08:14:43,2022-11-16 08:14:43+00:00,0,,@AASHIQALKAWN @EduGovOman @NbatnaMoe @mct_edu @Abdullahbinane1 @MOE_EPR_06_0116 @Alsamischool @SchoolAlebtkar @saham_p_s ماشاءالله عليها مرايم... ماغريب على أل المريخ التميز ما شاءالله يمشي في دمهم,[],1584467575622230016,UmGhazooool,Nfhrur Hrhrur6r,https://twitter.com/UmGhazooool/status/1592793271319003139,2,0,0,
8350,1592776385869017088,2022-11-16 08:14:36,2022-11-16 08:14:36+00:00,0,,@Saham_fess udah selesai pestanya,[],1279434723299713024,pamungkas_jra,Zhi Wei Dao,https://twitter.com/pamungkas_jra/status/1592793244844560384,0,1,0,
8351,1592792914866077696,2022-11-16 08:14:11,2022-11-16 08:14:11+00:00,0,,Indonesia semakin terdepan menjadi tempat investasi terbaik #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur  https://t.co/rSqaacm2j2,"['jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",1526845106816708608,Kadisc22287,Kelinci Balap,https://twitter.com/Kadisc22287/status/1592793139227807745,0,1,0,
8352,1592792914866077696,2022-11-16 08:14:05,2022-11-16 08:14:05+00:00,0,,Mrt Jakarta semakin terdepan lewat dorongan investasi pak Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur  https://t.co/Dxzc8gpzkV,"['jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",1526845106816708608,Kadisc22287,Kelinci Balap,https://twitter.com/Kadisc22287/status/1592793113466384385,0,1,0,
8353,1592793045258604544,2022-11-16 08:13:49,2022-11-16 08:13:49+00:00,0,,Indonesia Jadi Pasar Investasi Terbaik #KTTG20 #PresidensiG20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia #PulihBersama  Sulawesi Utara  https://t.co/FQCxI9cdE0,"['kttg20', 'presidensig20', 'g20indonesia', 'recovertogetherrecoverstronger', 'g20indonesia2022', 'groupoftwentyindonesia', 'pulihbersama']",1415478891091693568,malompar,Gionio Malompar,https://twitter.com/malompar/status/1592793045258604544,2,0,0,
